County,Population,Violent,Murder,Rape,Robbery,Aggrevated assault,Property,Burglary,Vehicle theft,Larceny theft
Siskiyou,"44,592",405.9,13.5,29.2,20.2,343.1,"1,426.3",361.1,208.6,856.7
Solano,"438,832",481.7,4.8,60.2,150.6,266.2,"2,999.1",849.3,470.6,"1,679.2"
Sonoma,"496,947",405.7,1.8,55.7,48.9,299.2,"1,360.3",247.1,113.9,999.3
Stanislaus,"554,018",524.9,4.5,30.7,130.7,359.0,"2,576.5",474.4,449.6,"1,652.5"
Sutter,"102,914",309.0,3.9,31.1,63.2,210.9,"2,377.7",386.7,342.0,"1,648.9"
Tehama,"64,643",396.0,4.6,71.2,46.4,273.8,"2,510.7",674.5,392.9,"1,443.3"
Trinity,"13,637",447.3,14.7,73.3,66.0,293.3,"1,737.9",608.6,234.7,894.6
Tulare,"476,588",355.0,4.2,40.7,81.6,228.5,"2,229.4",424.9,387.1,"1,417.4"
Tuolumne,"54,532",357.6,3.7,124.7,23.8,205.4,"1,969.5",687.7,185.2,"1,096.6"
Ventura,"846,050",216.3,2.8,27.4,62.3,123.8,"1,493.3",230.0,145.9,"1,117.4"
Yolo,"220,896",288.4,2.7,39.4,79.7,166.6,"3,007.8",418.7,265.7,"2,323.3"
Yuba,"77,342",421.5,9.1,53.0,78.9,280.6,"2,384.2",523.6,614.2,"1,246.4"
